case	exit	duration_ms
native-c-probe	0	1
native-glibc-nopie	0	1
native-musl-static	0	2
native-node	0	116
native-static-go	0	2
native-shebang	0	1
native-coreutils	0	1
native-esbuild-cli	0	5
native-esbuild-api	0	55
libreflect-c-probe	0	2
libreflect-glibc-nopie	0	2
libreflect-musl-static	0	1
libreflect-node	0	76
libreflect-host-shaped-node	0	69
libreflect-shell	0	1
libreflect-coreutils	0	1
libreflect-static-go	0	3
libreflect-esbuild-cli	0	13
libreflect-esbuild-api	0	68
libreflect-direct-shebang	134	62
libreflect-expanded-shebang	0	3
libreflect-state	0	3
libreflect-residual-thread	0	2
anvil-c-probe	0	32
anvil-glibc-nopie	0	26
anvil-musl-static	0	23
anvil-node	0	91
anvil-shell	0	23
anvil-coreutils	0	23
anvil-static-go	139	69
anvil-esbuild-cli	139	77
anvil-direct-shebang	1	53
sigsys-libreflect	0	2
sigsys-anvil	0	77
sigsys-libreflect-c	0	1
sigsys-libreflect-node	91	49
sigsys-libreflect-static-go	2	5
sigsys-libreflect-esbuild	0	12
sigsys-full-libreflect-esbuild	0	11
sigsys-full-libreflect-node	0	66
sigsys-anvil-static-go	139	121
